company_top5,title,avg_ttl_sal
GOOGLE,"SOFTWARE ENGINEERING MANAGER",492686.0465116279
APPLE,"SOFTWARE ENGINEERING MANAGER",461535.71428571426
AMAZON,"SOFTWARE ENGINEERING MANAGER",385731.21387283236
GOOGLE,"PRODUCT MANAGER",382993.22033898305
MICROSOFT,"SOFTWARE ENGINEERING MANAGER",362309.90415335464
OTHERS,"SOFTWARE ENGINEERING MANAGER",330701.3223894209
APPLE,"SOLUTION ARCHITECT",322400
GOOGLE,"SOLUTION ARCHITECT",317500
ORACLE,"SOFTWARE ENGINEERING MANAGER",316160.37735849054
APPLE,"PRODUCT MANAGER",297951.6129032258
GOOGLE,"TECHNICAL PROGRAM MANAGER",291564.6258503401
GOOGLE,"MANAGEMENT CONSULTANT",287000
MICROSOFT,SALES,283432.8358208955
APPLE,MARKETING,281833.3333333333
GOOGLE,"PRODUCT DESIGNER",279560.28368794324
APPLE,"SOFTWARE ENGINEER",273902.4691358025
GOOGLE,"DATA SCIENTIST",271566.6666666667
APPLE,"DATA SCIENTIST",269227.84810126584
GOOGLE,"SOFTWARE ENGINEER",268211.575562701
APPLE,"HARDWARE ENGINEER",266795.2380952381
