company_top5,title,location,avg_experience,avg_base_salary
OTHERS,"PRODUCT MANAGER","Los Altos, CA",20,800000
OTHERS,MARKETING,"Hollywood, CA",15,750000
OTHERS,MARKETING,"Dubai, DU, United Arab Emirates",14,696000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Los Gatos, CA",14.73913043478261,578478.2608695652
OTHERS,"SOFTWARE ENGINEERING MANAGER","Los Altos, CA",15,500000
APPLE,"DATA SCIENTIST","Los Angeles, CA",20,480000
OTHERS,"DATA SCIENTIST","Illinois City, IL",8,450000
OTHERS,"SOFTWARE ENGINEER","Los Gatos, CA",9.78698224852071,436656.8047337278
OTHERS,"DATA SCIENTIST","Los Gatos, CA",4.947368421052632,402105.2631578947
OTHERS,"MANAGEMENT CONSULTANT","Raleigh, NC",11.333333333333334,383333.3333333333
APPLE,"DATA SCIENTIST","Redmond, WA",7,375000
ORACLE,"SOLUTION ARCHITECT","Aspen, CO",31,350000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Ellicott City, MD",19,335000
OTHERS,"SOFTWARE ENGINEER","San Mateo, FL",16,323000
MICROSOFT,SALES,"Irvine, CA",21,312000
OTHERS,"PRODUCT MANAGER","Los Gatos, CA",8,310000
OTHERS,"PRODUCT DESIGNER","Los Gatos, CA",13,310000
OTHERS,"TECHNICAL PROGRAM MANAGER","Los Gatos, CA",14,310000
OTHERS,"SOFTWARE ENGINEER","Alameda, CA",21,300000
OTHERS,SALES,"Woodlands, SG, Singapore",17,300000
GOOGLE,"SOLUTION ARCHITECT","Kirkland, WA",20,300000
GOOGLE,"SOLUTION ARCHITECT","Dallas, TX",20,285000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","Washington, DC",25,280000
MICROSOFT,MARKETING,"San Francisco, CA",20,280000
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","New York, NY",15,275000
ORACLE,"SOFTWARE ENGINEERING MANAGER","Bellevue, WA",25,275000
OTHERS,"TECHNICAL PROGRAM MANAGER","Houston, TX",17.5,270000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Hoboken, NJ",17.75,261500
GOOGLE,SALES,"Sunnyvale, CA",10,255000
OTHERS,"DATA SCIENTIST","Los Angeles, CA",4.970588235294118,252558.82352941178
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","Singapore, SG, Singapore",18,252000
OTHERS,"HARDWARE ENGINEER","Beaverton, OR",20,250000
OTHERS,"HUMAN RESOURCES","Tucson, AZ",25,250000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","Boulder, CO",9,250000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","San Jose, CA",18,250000
OTHERS,"PRODUCT MANAGER","Cupertino, CA",20,245000
OTHERS,"MANAGEMENT CONSULTANT","Highland Park, NJ",8,240000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Ridgefield Park, NJ",20,240000
OTHERS,"HARDWARE ENGINEER","Venice, CA",15,240000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Culver City, CA",15,240000
